rsq,set_name,column,is_baseline,spearman_abs_rho,permutation_r2_drop,ablation_r2_drop,average_rank
RSQ1,nested_set1_baseline,CanopyCover,True,,,,
RSQ1,nested_set1_baseline,time_since_thinning,True,,,,
RSQ1,nested_set1_baseline,time_since_thinning_missing,True,,,,
RSQ1,nested_set1_baseline,recent_thinning_5yr,True,,,,
RSQ1,nested_set2_top5,gwa_weibull_k_50m,False,0.20209926351380128,0.007714717703834917,0.0757488238429519,8.333333333333334
RSQ1,nested_set2_top5,dist_to_scpt_boundary,False,0.11746802811017686,0.008252889643059591,0.11455816124582696,9.0
RSQ1,nested_set2_top5,elevation,False,0.24035244276678086,0.03904719588095018,-0.0039752015257354945,10.333333333333334
RSQ1,nested_set2_top5,dist_to_cpmt_boundary,False,0.09656901822890822,0.016945695218357315,0.030031007296619894,11.0
RSQ1,nested_set2_top5,tas_mean,False,0.19992421272992764,0.008177189365598747,0.020646715612033795,11.333333333333334
RSQ1,nested_set3_gated_terrain_wind,gwa_weibull_k_50m,False,0.20209926351380128,0.007714717703834917,0.0757488238429519,8.333333333333334
RSQ1,nested_set3_gated_terrain_wind,elevation,False,0.24035244276678086,0.03904719588095018,-0.0039752015257354945,10.333333333333334
RSQ1,nested_set3_gated_terrain_wind,eastness,False,0.05154300766755608,0.016403402671710254,0.08163616930958961,11.666666666666666
RSQ1,nested_set3_gated_terrain_wind,windward_topex,False,0.1648491124520994,0.031430170229244436,-0.0010025829577225975,12.0
RSQ1,nested_set3_gated_terrain_wind,gwa_weibull_a_10m,False,0.11959895220323434,0.012156831486890396,0.013066678816907595,13.0
RSQ1,nested_set3_gated_terrain_wind,gwa_weibull_a_50m,False,0.243688046076791,-0.0030111811472832706,0.02342519803352172,13.666666666666666
RSQ1,nested_set3_gated_terrain_wind,slope_degrees,False,0.09397086410875659,0.004418020188897809,0.04225960351509361,15.0
RSQ1,nested_set3_gated_terrain_wind,gwa_weibull_k_10m,False,0.05832090915007795,0.004439922678119768,0.05540475309647186,15.333333333333334
RSQ1,nested_set3_gated_terrain_wind,solar_radiation_index,False,0.06217117663732169,0.008658911938395075,0.015196532340205682,16.666666666666668
RSQ1,nested_set3_gated_terrain_wind,ceh_twi,False,0.11766505472226632,0.0026431608335754087,0.01383666513077586,17.0
RSQ1,nested_set3_gated_terrain_wind,gwa_wind_speed_10m,False,0.12883592245815365,0.006254933566406384,-0.004986708298221565,17.666666666666668
RSQ1,nested_set4_gated_all,gwa_weibull_k_50m,False,0.20209926351380128,0.007714717703834917,0.0757488238429519,8.333333333333334
RSQ1,nested_set4_gated_all,elevation,False,0.24035244276678086,0.03904719588095018,-0.0039752015257354945,10.333333333333334
RSQ1,nested_set4_gated_all,eastness,False,0.05154300766755608,0.016403402671710254,0.08163616930958961,11.666666666666666
RSQ1,nested_set4_gated_all,windward_topex,False,0.1648491124520994,0.031430170229244436,-0.0010025829577225975,12.0
RSQ1,nested_set4_gated_all,gwa_weibull_a_10m,False,0.11959895220323434,0.012156831486890396,0.013066678816907595,13.0
RSQ1,nested_set4_gated_all,gwa_weibull_a_50m,False,0.243688046076791,-0.0030111811472832706,0.02342519803352172,13.666666666666666
RSQ1,nested_set4_gated_all,slope_degrees,False,0.09397086410875659,0.004418020188897809,0.04225960351509361,15.0
RSQ1,nested_set4_gated_all,gwa_weibull_k_10m,False,0.05832090915007795,0.004439922678119768,0.05540475309647186,15.333333333333334
RSQ1,nested_set4_gated_all,solar_radiation_index,False,0.06217117663732169,0.008658911938395075,0.015196532340205682,16.666666666666668
RSQ1,nested_set4_gated_all,ceh_twi,False,0.11766505472226632,0.0026431608335754087,0.01383666513077586,17.0
RSQ1,nested_set4_gated_all,gwa_wind_speed_10m,False,0.12883592245815365,0.006254933566406384,-0.004986708298221565,17.666666666666668
RSQ1,nested_set4_gated_all,dist_to_scpt_boundary,False,0.11746802811017686,0.008252889643059591,0.11455816124582696,9.0
RSQ1,nested_set4_gated_all,dist_to_cpmt_boundary,False,0.09656901822890822,0.016945695218357315,0.030031007296619894,11.0
RSQ1,nested_set4_gated_all,tas_mean,False,0.19992421272992764,0.008177189365598747,0.020646715612033795,11.333333333333334
RSQ1,nested_set4_gated_all,dist_to_block_boundary,False,0.09804332706989151,0.010670502982285335,0.02251338726017371,13.333333333333334
RSQ1,nested_set4_gated_all,chelsa_gdd5_degc,False,0.21644421967991428,0.011249459593203781,-0.024123444304851027,14.333333333333334
RSQ1,nested_set4_gated_all,cpmt_compactness_ratio,False,0.1558628785853159,-0.0017876998452437398,0.031492237618969354,15.0
RSQ1,nested_set5_all_ungated,elevation,False,0.24035244276678086,0.03904719588095018,-0.0039752015257354945,10.333333333333334
RSQ1,nested_set5_all_ungated,slope_degrees,False,0.09397086410875659,0.004418020188897809,0.04225960351509361,15.0
RSQ1,nested_set5_all_ungated,northness,False,0.06966358398399775,-0.006946958664507563,0.029381957676560266,20.666666666666668
RSQ1,nested_set5_all_ungated,eastness,False,0.05154300766755608,0.016403402671710254,0.08163616930958961,11.666666666666666
RSQ1,nested_set5_all_ungated,profile_curvature,False,0.03279176082504213,0.008077395217550687,0.02010820423687243,19.0
RSQ1,nested_set5_all_ungated,plan_curvature,False,0.018760536894367717,-0.003099824806389595,0.13004139272278925,19.666666666666668
RSQ1,nested_set5_all_ungated,tpi,False,0.04168207252278109,0.014561400225353793,0.0005748171603997543,18.333333333333332
RSQ1,nested_set5_all_ungated,elevation_roughness,False,0.06863916976182259,-0.007299196182894763,-0.0007316077292928158,25.333333333333332
RSQ1,nested_set5_all_ungated,tpi_500m,False,0.02983939997365747,-0.012342676955741316,-0.0567835325746302,31.333333333333332
RSQ1,nested_set5_all_ungated,local_relief_500m,False,0.09256415049548551,-0.00953712560972153,0.046260694295198634,19.333333333333332
RSQ1,nested_set5_all_ungated,solar_radiation_index,False,0.06217117663732169,0.008658911938395075,0.015196532340205682,16.666666666666668
RSQ1,nested_set5_all_ungated,frost_hollow_flag,False,0.0032899533607099914,0.0,0.0,26.0
RSQ1,nested_set5_all_ungated,topex,False,0.11286746252042222,-0.015808360990515635,0.0450501057512952,18.666666666666668
RSQ1,nested_set5_all_ungated,windward_topex,False,0.1648491124520994,0.031430170229244436,-0.0010025829577225975,12.0
RSQ1,nested_set5_all_ungated,gwa_weibull_a_10m,False,0.11959895220323434,0.012156831486890396,0.013066678816907595,13.0
