identification,n_appearances,cohort,cpmt,any_clearfell_like,any_measurement_inconsistent,any_ambiguous_disturbance,max_height_drop_frac,max_canopy_drop_frac,max_volume_drop_frac,exclude_from_curve_fit,residual_range
77185.0,3,4survey,1135.0,False,False,False,-0.025095785768028858,0.04073686277076115,-0.03407006110392959,False,0.9083809654272166
344808.0,3,4survey,2250.0,False,False,False,-0.017315018159405966,0.15803579757083255,0.06386118469861936,False,13.609229866451823
353952.0,3,4survey,2232.0,False,False,False,-0.05492444881864079,0.27555106881376856,0.17061857802611838,False,13.829169211868326
356411.0,3,4survey,2217.0,False,False,False,-0.022421087874062204,0.12643601254152628,0.027829135505796694,False,14.679623083282625
344812.0,2,6survey,2250.0,False,False,False,-0.021855334318646988,-0.055462408994811335,-0.09485174437727246,False,15.06256575996477
370819.0,2,4survey,2176.0,False,False,False,-0.05619005645669089,-0.04227870768164843,-0.16046439185386924,False,5.871154175124595
320299.0,1,6survey,2225.0,False,False,False,-0.0536326627482933,-0.07916711808760259,-0.15053513551684447,False,2.1147261498124
362556.0,1,4survey,2173.0,False,False,False,-0.02647853911682927,0.10141668234094683,0.023803721773328634,False,14.665799491325426
366554.0,1,4survey,2176.0,False,False,False,-0.02046846361209312,-0.02658168595930435,-0.05239688591276723,False,2.634149873041988
366559.0,1,4survey,2176.0,False,False,False,0.07395609177963673,0.46247173112207884,0.4161252018144003,False,2.7148231030169683
